# x 	 avg 	 error 
17600	17495.1147551	0.0059593889156
17700	17595.8467517	0.00588436430829
17800	17700.9504848	0.00556457950342
17900	17796.087701	0.00580515636944
18000	17897.6753797	0.00568470112788
18100	17995.1244594	0.00579422876225
18200	18086.9223922	0.0062130553709
18300	18183.7338063	0.00635334391761
18400	18281.4037468	0.00644544854152
18500	18383.9236713	0.00627439614794
18600	18482.1339836	0.00633688260464
18700	18583.4764806	0.00623120424479
18800	18685.414296	0.00609498425772
18900	18778.9126178	0.00640673979794
19000	18872.0139546	0.00673610765398
19100	18968.165729	0.00690231785083
19200	19062.6192714	0.00715524628158
19300	19160.6086125	0.00722235168234
19400	19262.997445	0.00706198737067
19500	19364.4253133	0.00695254803558
19600	19459.9252706	0.00714666986597
19700	19550.3325205	0.00759733398485
19800	19642.636048	0.00794767434414
19900	19739.1223868	0.00808430216874
20000	19835.8695987	0.00820652006748
20100	19934.5130383	0.00823318217285
20200	20029.647539	0.00843329014751
20300	20120.5348515	0.00884064770849
20400	20209.2564434	0.00935017434321
20500	20298.827188	0.00981330790019
20600	20397.1615617	0.00984652613143
20700	20492.5227822	0.0100230539989
20800	20591.2595744	0.010035597383
20900	20691.7739456	0.009962969112
21000	20791.8042842	0.00991408170546
21100	20891.0766974	0.0099015783213
21200	20989.4163788	0.00993318967978
21300	21081.8132895	0.0102435075373
21400	21180.2167489	0.0102702453766
21500	21274.7741594	0.0104756204941
21600	21375.8780283	0.010376017206
21700	21475.6837699	0.0103371534628
21800	21577.9718984	0.0101847753033
21900	21678.3190776	0.0101224165472
22000	21773.1883109	0.0103096222318
22100	21869.0580381	0.0104498625312
22200	21970.3462987	0.0103447613219
22300	22074.6739712	0.0101043062223
22400	22182.0869125	0.00972826283511
22500	22274.9256401	0.010003304886
22600	22373.3490795	0.0100288017939
22700	22474.4089415	0.00993793209213
22800	22572.8411257	0.00996310852312
22900	22670.3741209	0.0100273309657
23000	22772.8323644	0.00987685372106
23100	22862.2216132	0.0102934366575
23200	22957.831377	0.0104383027152
23300	23062.9194786	0.0101751296741
23400	23160.8039771	0.0102220522623
23500	23262.7210058	0.0100969784775
23600	23355.2116172	0.0103723891
23700	23459.0843486	0.0101652173594
23800	23552.6704672	0.0103919971752
23900	23650.092355	0.0104563868202
24000	23747.7961918	0.0105084920072
24100	23848.2226576	0.010447192631
24200	23943.6802182	0.0105917265219
24300	24040.0418647	0.0106978656506
24400	24130.6010779	0.0110409394289
24500	24228.196301	0.0110940285291
24600	24320.6889896	0.0113541061125
24700	24411.4574541	0.0116818844484
24800	24508.0714445	0.0117713127203
24900	24599.8201351	0.0120554162629
25000	24700.7288824	0.0119708447059
25100	24799.0449426	0.0119902413291
25200	24895.7431458	0.0120736846921
25300	24982.821004	0.012536719209
25400	25086.1629385	0.0123557898215
25500	25180.2951915	0.0125374434699
25600	25282.383042	0.0124069124204
25700	25373.7995778	0.0126926234326
25800	25475.7610826	0.0125673998984
25900	25576.9317242	0.0124736786005
26000	25675.8405114	0.0124676726391
26100	25771.063109	0.0126029460156
26200	25858.0334671	0.0130521577432
26300	25945.0585247	0.0134958735868
26400	26041.8174133	0.0135675222218
26500	26134.2681133	0.0138012032711
26600	26232.0202514	0.0138338251346
26700	26327.0528451	0.0139680582377
26800	26424.0004109	0.0140298354127
